,Title,Employer,Location,Deadline
0,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
1,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
2,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
3,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
4,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
5,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
6,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
7,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
8,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
9,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
10,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
11,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
12,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
13,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
14,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
15,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
16,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
17,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
18,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
19,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
